fecha,anio,mes_numero,dia_semana,es_fin_de_semana,canal,categoria,unidades_vendidas,ventas_netas,margen_total,media_movil_7d_unidades,media_movil_30d_unidades,prediccion_naive_proximo_dia,tendencia_ventas
2024-01-01,2024,1,1,False,Amazon,Accesorios,4,106.32,14.01,,,,Sin historico
2024-01-02,2024,1,2,False,Amazon,Accesorios,6,297.18,65.7,4.0,4.0,4.0,Tendencia estable
2024-01-03,2024,1,3,False,Amazon,Accesorios,6,297.18,65.7,5.0,5.0,5.0,Tendencia estable
2024-01-04,2024,1,4,False,Amazon,Accesorios,7,360.38,79.83,5.333333,5.333333,5.333333,Tendencia estable
2024-01-05,2024,1,5,False,Amazon,Accesorios,7,360.38,79.83,5.75,5.75,5.75,Tendencia estable
2024-01-06,2024,1,6,True,Amazon,Accesorios,6,316.32,76.22,6.0,6.0,6.0,Tendencia estable
2024-01-07,2024,1,7,True,Amazon,Accesorios,4,289.9,70.88,6.0,6.0,6.0,Tendencia estable
2024-01-08,2024,1,1,False,Amazon,Accesorios,4,289.9,70.88,5.714285,5.714285,5.714285,Tendencia estable
2024-01-09,2024,1,2,False,Amazon,Accesorios,4,289.9,70.88,5.714285,5.5,5.714285,Tendencia estable
2024-01-10,2024,1,3,False,Amazon,Accesorios,4,289.9,70.88,5.428571,5.333333,5.428571,Tendencia estable
2024-01-11,2024,1,4,False,Amazon,Accesorios,5,370.1,78.68,5.142857,5.2,5.142857,Tendencia estable
2024-01-12,2024,1,5,False,Amazon,Accesorios,4,329.8,69.89,4.857142,5.181818,4.857142,Tendencia estable
2024-01-13,2024,1,6,True,Amazon,Accesorios,2,141.62,20.44,4.428571,5.083333,4.428571,Tendencia decreciente
2024-01-14,2024,1,7,True,Amazon,Accesorios,2,143.4,21.93,3.857142,4.846153,3.857142,Tendencia decreciente
2024-01-15,2024,1,1,False,Amazon,Accesorios,1,71.29,0.36,3.571428,4.642857,3.571428,Tendencia decreciente
2024-01-16,2024,1,2,False,Amazon,Accesorios,2,112.5,3.09,3.142857,4.4,3.142857,Tendencia decreciente
2024-01-17,2024,1,3,False,Amazon,Accesorios,2,102.04,-5.65,2.857142,4.25,2.857142,Tendencia decreciente
2024-01-18,2024,1,4,False,Amazon,Accesorios,2,104.89,-3.27,2.571428,4.117647,2.571428,Tendencia decreciente
2024-01-19,2024,1,5,False,Amazon,Accesorios,2,117.55,7.3,2.142857,4.0,2.142857,Tendencia decreciente
2024-01-20,2024,1,6,True,Amazon,Accesorios,2,107.87,-0.79,1.857142,3.894736,1.857142,Tendencia decreciente
2024-01-21,2024,1,7,True,Amazon,Accesorios,2,121.39,10.51,1.857142,3.8,1.857142,Tendencia decreciente
2024-01-22,2024,1,1,False,Amazon,Accesorios,2,124.68,13.26,1.857142,3.714285,1.857142,Tendencia decreciente
2024-01-23,2024,1,2,False,Amazon,Accesorios,1,45.49,6.3,2.0,3.636363,2.0,Tendencia decreciente
2024-01-24,2024,1,3,False,Amazon,Accesorios,1,40.44,2.08,1.857142,3.521739,1.857142,Tendencia decreciente
2024-01-25,2024,1,4,False,Amazon,Accesorios,1,41.45,2.93,1.714285,3.416666,1.714285,Tendencia decreciente
2024-01-26,2024,1,5,False,Amazon,Accesorios,1,34.37,-2.99,1.571428,3.32,1.571428,Tendencia decreciente
2024-01-30,2024,1,2,False,Amazon,Accesorios,1,69.39,21.16,1.428571,3.230769,1.428571,Tendencia decreciente
2024-01-31,2024,1,3,False,Amazon,Accesorios,1,69.39,21.16,1.285714,3.148148,1.285714,Tendencia decreciente
2024-02-01,2024,2,4,False,Amazon,Accesorios,1,69.39,21.16,1.142857,3.071428,1.142857,Tendencia decreciente
2024-02-02,2024,2,5,False,Amazon,Accesorios,1,69.39,21.16,1.0,3.0,1.0,Tendencia decreciente
2024-02-03,2024,2,6,True,Amazon,Accesorios,2,147.7,51.77,1.0,2.933333,1.0,Tendencia decreciente
2024-02-04,2024,2,7,True,Amazon,Accesorios,2,147.7,51.77,1.142857,2.866666,1.142857,Tendencia decreciente
2024-01-01,2024,1,1,False,Miravia,Electronica,3,266.4,64.91,,,,Sin historico
2024-01-02,2024,1,2,False,Miravia,Electronica,3,266.4,64.91,3.0,3.0,3.0,Tendencia estable
2024-01-03,2024,1,3,False,Miravia,Electronica,3,266.4,64.91,3.0,3.0,3.0,Tendencia estable
2024-01-04,2024,1,4,False,Miravia,Electronica,4,433.95,136.18,3.0,3.0,3.0,Tendencia estable
2024-01-05,2024,1,5,False,Miravia,Electronica,4,433.95,136.18,3.25,3.25,3.25,Tendencia estable
2024-01-06,2024,1,6,True,Miravia,Electronica,4,433.95,136.18,3.4,3.4,3.4,Tendencia estable
2024-01-07,2024,1,7,True,Miravia,Electronica,4,433.95,136.18,3.5,3.5,3.5,Tendencia estable
