fecha,canal,categoria,modelo,real,prediccion,error,error_abs
2025-08-13,Shein,Hogar,MLP Neural Network,3.0,3.315351015776378,-0.31535101577637814,0.31535101577637814
2025-08-13,Shein,Calzado,MLP Neural Network,5.0,5.347317145081219,-0.34731714508121936,0.34731714508121936
2025-08-13,Web Propia,Outlet,MLP Neural Network,1.0,0.8060693117486195,0.1939306882513805,0.1939306882513805
2025-08-13,Shein,Belleza,MLP Neural Network,7.0,6.422305483657061,0.5776945163429392,0.5776945163429392
2025-08-13,Miravia,Belleza,MLP Neural Network,1.0,1.1780073022927995,-0.17800730229279949,0.17800730229279949
2025-08-13,Amazon,Moda Mujer,MLP Neural Network,3.0,3.0637093715060444,-0.06370937150604439,0.06370937150604439
2025-08-13,Shein,Electronica,MLP Neural Network,1.0,0.693850508897931,0.306149491102069,0.306149491102069
2025-08-13,Web Propia,Moda Mujer,MLP Neural Network,6.0,5.085324999011428,0.9146750009885718,0.9146750009885718
2025-08-13,Shein,Infantil,MLP Neural Network,3.0,2.8886986666735774,0.11130133332642256,0.11130133332642256
2025-08-13,Miravia,Hogar,MLP Neural Network,5.0,5.150194621230215,-0.15019462123021476,0.15019462123021476
2025-08-13,Miravia,Calzado,MLP Neural Network,4.0,4.36596326109394,-0.36596326109394006,0.36596326109394006
2025-08-13,Amazon,Calzado,MLP Neural Network,8.0,7.496469010332421,0.5035309896675786,0.5035309896675786
2025-08-13,Web Propia,Hogar,MLP Neural Network,3.0,2.1400296822579206,0.8599703177420794,0.8599703177420794
2025-08-13,Web Propia,Infantil,MLP Neural Network,4.0,3.6562561122605954,0.34374388773940456,0.34374388773940456
2025-08-13,Shein,Accesorios,MLP Neural Network,3.0,2.3270404536296105,0.6729595463703895,0.6729595463703895
2025-08-13,Shein,Moda Hombre,MLP Neural Network,2.0,2.575787355696903,-0.5757873556969031,0.5757873556969031
2025-08-13,Web Propia,Deporte,MLP Neural Network,2.0,2.4970585844192734,-0.4970585844192734,0.4970585844192734
2025-08-13,Miravia,Deporte,MLP Neural Network,1.0,1.3681390431521243,-0.3681390431521243,0.3681390431521243
2025-08-13,Web Propia,Belleza,MLP Neural Network,2.0,1.9055184711700945,0.09448152882990546,0.09448152882990546
2025-08-13,Miravia,Accesorios,MLP Neural Network,10.0,8.657760516193214,1.342239483806786,1.342239483806786
2025-08-13,Shein,Outlet,MLP Neural Network,5.0,5.1596577308935565,-0.1596577308935565,0.1596577308935565
2025-08-13,Amazon,Electronica,MLP Neural Network,11.0,10.990315643332092,0.009684356667907679,0.009684356667907679
2025-08-13,Amazon,Belleza,MLP Neural Network,4.0,4.679200829116937,-0.6792008291169367,0.6792008291169367
2025-08-13,Amazon,Moda Hombre,MLP Neural Network,4.0,4.076327606165184,-0.07632760616518386,0.07632760616518386
2025-08-13,Web Propia,Moda Hombre,MLP Neural Network,5.0,4.771615837327772,0.22838416267222783,0.22838416267222783
2025-08-13,Web Propia,Calzado,MLP Neural Network,7.0,6.730456064953026,0.2695439350469737,0.2695439350469737
2025-08-13,Shein,Moda Mujer,MLP Neural Network,5.0,5.086426064162479,-0.08642606416247922,0.08642606416247922
2025-08-13,Web Propia,Electronica,MLP Neural Network,2.0,1.9075883226451085,0.09241167735489153,0.09241167735489153
2025-08-13,Miravia,Moda Hombre,MLP Neural Network,8.0,6.624589832381413,1.375410167618587,1.375410167618587
2025-08-13,Web Propia,Accesorios,MLP Neural Network,5.0,5.138558663757518,-0.13855866375751802,0.13855866375751802
2025-08-13,Miravia,Outlet,MLP Neural Network,5.0,5.1956397152160445,-0.1956397152160445,0.1956397152160445
2025-08-13,Miravia,Moda Mujer,MLP Neural Network,5.0,5.036156329384415,-0.03615632938441493,0.03615632938441493
2025-08-13,Amazon,Infantil,MLP Neural Network,1.0,1.2349799522563443,-0.23497995225634427,0.23497995225634427
2025-08-13,Amazon,Hogar,MLP Neural Network,4.0,3.284575846494452,0.7154241535055479,0.7154241535055479
2025-08-13,Shein,Deporte,MLP Neural Network,3.0,3.0119852118539634,-0.011985211853963396,0.011985211853963396
2025-08-13,Amazon,Outlet,MLP Neural Network,3.0,3.2501651086229706,-0.2501651086229706,0.2501651086229706
2025-08-14,Shein,Electronica,MLP Neural Network,1.0,0.9762696472192988,0.023730352780701236,0.023730352780701236
2025-08-14,Shein,Moda Mujer,MLP Neural Network,6.0,6.1159873059069465,-0.1159873059069465,0.1159873059069465
2025-08-14,Web Propia,Outlet,MLP Neural Network,1.0,1.380403407857293,-0.3804034078572931,0.3804034078572931
2025-08-14,Web Propia,Belleza,MLP Neural Network,2.0,1.9522936740662487,0.04770632593375135,0.04770632593375135
2025-08-14,Amazon,Deporte,MLP Neural Network,3.0,1.820298389465428,1.179701610534572,1.179701610534572
2025-08-14,Shein,Moda Hombre,MLP Neural Network,2.0,2.1169989733383217,-0.11699897333832165,0.11699897333832165
2025-08-14,Miravia,Belleza,MLP Neural Network,1.0,0.9769960103423861,0.023003989657613855,0.023003989657613855
2025-08-14,Miravia,Electronica,MLP Neural Network,1.0,0.8565364791160317,0.1434635208839683,0.1434635208839683
2025-08-14,Miravia,Moda Hombre,MLP Neural Network,8.0,7.984607055039284,0.015392944960716193,0.015392944960716193
2025-08-14,Shein,Hogar,MLP Neural Network,1.0,1.2998115367684098,-0.29981153676840977,0.29981153676840977
2025-08-14,Miravia,Calzado,MLP Neural Network,4.0,4.215059491217378,-0.215059491217378,0.215059491217378
2025-08-14,Shein,Accesorios,MLP Neural Network,4.0,3.5108279364336976,0.4891720635663024,0.4891720635663024
2025-08-14,Amazon,Moda Hombre,MLP Neural Network,4.0,3.9872845318805026,0.01271546811949742,0.01271546811949742
2025-08-14,Amazon,Belleza,MLP Neural Network,4.0,3.4350362345452377,0.5649637654547623,0.5649637654547623
2025-08-14,Web Propia,Calzado,MLP Neural Network,7.0,8.14554136628211,-1.1455413662821101,1.1455413662821101
2025-08-14,Web Propia,Accesorios,MLP Neural Network,5.0,6.2910653181079805,-1.2910653181079805,1.2910653181079805
2025-08-14,Web Propia,Electronica,MLP Neural Network,2.0,2.02605019896223,-0.02605019896222993,0.02605019896222993
2025-08-14,Shein,Deporte,MLP Neural Network,3.0,2.7616401826964743,0.23835981730352573,0.23835981730352573
2025-08-14,Miravia,Moda Mujer,MLP Neural Network,6.0,5.019717064199677,0.9802829358003233,0.9802829358003233
2025-08-14,Amazon,Hogar,MLP Neural Network,3.0,2.6037552499590633,0.39624475004093673,0.39624475004093673
2025-08-14,Amazon,Electronica,MLP Neural Network,11.0,11.782784099378887,-0.7827840993788868,0.7827840993788868
2025-08-14,Shein,Outlet,MLP Neural Network,5.0,5.508328709008499,-0.5083287090084987,0.5083287090084987
2025-08-14,Miravia,Hogar,MLP Neural Network,5.0,5.657851290480311,-0.6578512904803109,0.6578512904803109
2025-08-14,Shein,Calzado,MLP Neural Network,8.0,7.777677242641076,0.22232275735892415,0.22232275735892415
2025-08-14,Amazon,Calzado,MLP Neural Network,6.0,5.59892572349532,0.40107427650467997,0.40107427650467997
2025-08-14,Web Propia,Moda Mujer,MLP Neural Network,5.0,4.75770161959094,0.2422983804090597,0.2422983804090597
2025-08-14,Shein,Infantil,MLP Neural Network,3.0,2.513698117018065,0.4863018829819352,0.4863018829819352
2025-08-14,Web Propia,Hogar,MLP Neural Network,2.0,2.3120366626391706,-0.3120366626391706,0.3120366626391706
2025-08-14,Web Propia,Infantil,MLP Neural Network,4.0,4.548014100460725,-0.5480141004607253,0.5480141004607253
2025-08-14,Miravia,Accesorios,MLP Neural Network,8.0,7.571890928196085,0.4281090718039149,0.4281090718039149
2025-08-14,Web Propia,Moda Hombre,MLP Neural Network,6.0,7.150305294818698,-1.1503052948186978,1.1503052948186978
2025-08-14,Amazon,Moda Mujer,MLP Neural Network,3.0,2.9290400842896838,0.07095991571031623,0.07095991571031623
2025-08-14,Miravia,Deporte,MLP Neural Network,1.0,0.9242015998650744,0.07579840013492556,0.07579840013492556
2025-08-14,Amazon,Infantil,MLP Neural Network,1.0,1.3993421042650127,-0.3993421042650127,0.3993421042650127
2025-08-14,Web Propia,Deporte,MLP Neural Network,2.0,1.836857268290295,0.16314273170970495,0.16314273170970495
2025-08-14,Amazon,Outlet,MLP Neural Network,3.0,3.153891937427989,-0.1538919374279888,0.1538919374279888
2025-08-14,Miravia,Outlet,MLP Neural Network,4.0,4.45745051557631,-0.4574505155763102,0.4574505155763102
2025-08-14,Shein,Belleza,MLP Neural Network,7.0,6.252483709585408,0.747516290414592,0.747516290414592
2025-08-15,Web Propia,Calzado,MLP Neural Network,7.0,7.059906402809486,-0.059906402809486003,0.059906402809486003
2025-08-15,Miravia,Accesorios,MLP Neural Network,8.0,7.876908325010344,0.12309167498965579,0.12309167498965579
2025-08-15,Shein,Belleza,MLP Neural Network,4.0,5.003143252280378,-1.0031432522803776,1.0031432522803776
2025-08-15,Amazon,Moda Mujer,MLP Neural Network,3.0,3.7478917742308373,-0.7478917742308373,0.7478917742308373
2025-08-15,Shein,Moda Mujer,MLP Neural Network,6.0,6.055214980386766,-0.055214980386765866,0.055214980386765866
2025-08-15,Amazon,Infantil,MLP Neural Network,1.0,1.177052619854995,-0.1770526198549951,0.1770526198549951
2025-08-15,Amazon,Moda Hombre,MLP Neural Network,4.0,3.7709637483137524,0.22903625168624764,0.22903625168624764
2025-08-15,Web Propia,Belleza,MLP Neural Network,3.0,2.6575502993114024,0.3424497006885976,0.3424497006885976
2025-08-15,Web Propia,Moda Hombre,MLP Neural Network,8.0,7.7807547042830665,0.21924529571693352,0.21924529571693352
2025-08-15,Web Propia,Moda Mujer,MLP Neural Network,4.0,3.947009091133854,0.052990908866146214,0.052990908866146214
2025-08-15,Amazon,Calzado,MLP Neural Network,5.0,5.4646979360578944,-0.46469793605789445,0.46469793605789445
2025-08-15,Shein,Electronica,MLP Neural Network,1.0,1.076302444500954,-0.07630244450095391,0.07630244450095391
2025-08-15,Shein,Moda Hombre,MLP Neural Network,2.0,1.7746187195219352,0.22538128047806483,0.22538128047806483
2025-08-15,Web Propia,Outlet,MLP Neural Network,1.0,2.0216846164769864,-1.0216846164769864,1.0216846164769864
2025-08-15,Shein,Calzado,MLP Neural Network,9.0,8.557150639473193,0.44284936052680735,0.44284936052680735
2025-08-15,Amazon,Accesorios,MLP Neural Network,1.0,1.856107474301781,-0.8561074743017809,0.8561074743017809
2025-08-15,Web Propia,Infantil,MLP Neural Network,4.0,3.7866495500656487,0.21335044993435126,0.21335044993435126
2025-08-15,Amazon,Belleza,MLP Neural Network,4.0,3.9458351708818293,0.054164829118170665,0.054164829118170665
2025-08-15,Miravia,Deporte,MLP Neural Network,1.0,1.060967415107721,-0.06096741510772108,0.06096741510772108
2025-08-15,Shein,Infantil,MLP Neural Network,3.0,2.6820410522868037,0.3179589477131963,0.3179589477131963
2025-08-15,Miravia,Hogar,MLP Neural Network,7.0,6.494563862575505,0.5054361374244953,0.5054361374244953
2025-08-15,Shein,Accesorios,MLP Neural Network,4.0,4.259643378015809,-0.2596433780158094,0.2596433780158094
2025-08-15,Amazon,Deporte,MLP Neural Network,3.0,2.973119367955111,0.026880632044889108,0.026880632044889108
2025-08-15,Amazon,Outlet,MLP Neural Network,3.0,3.2706504269388597,-0.27065042693885966,0.27065042693885966
2025-08-15,Web Propia,Hogar,MLP Neural Network,1.0,1.7248381639601074,-0.7248381639601074,0.7248381639601074
2025-08-15,Miravia,Calzado,MLP Neural Network,4.0,4.229902713671867,-0.22990271367186743,0.22990271367186743
2025-08-15,Miravia,Moda Hombre,MLP Neural Network,9.0,8.972392380393947,0.02760761960605329,0.02760761960605329
2025-08-15,Miravia,Moda Mujer,MLP Neural Network,4.0,4.685232890783448,-0.685232890783448,0.685232890783448
2025-08-15,Miravia,Belleza,MLP Neural Network,1.0,1.219877646846634,-0.2198776468466339,0.2198776468466339
2025-08-15,Miravia,Outlet,MLP Neural Network,4.0,3.126663202050692,0.8733367979493081,0.8733367979493081
2025-08-15,Miravia,Electronica,MLP Neural Network,1.0,1.2351318592344642,-0.23513185923446422,0.23513185923446422
2025-08-15,Web Propia,Electronica,MLP Neural Network,2.0,1.8746644389290357,0.12533556107096433,0.12533556107096433
2025-08-15,Shein,Outlet,MLP Neural Network,7.0,6.613389186984917,0.38661081301508293,0.38661081301508293
2025-08-15,Shein,Deporte,MLP Neural Network,1.0,1.9659439529040923,-0.9659439529040923,0.9659439529040923
2025-08-15,Shein,Hogar,MLP Neural Network,1.0,0.7897539642602026,0.2102460357397974,0.2102460357397974
2025-08-15,Web Propia,Accesorios,MLP Neural Network,5.0,4.9198864329776395,0.0801135670223605,0.0801135670223605
2025-08-15,Amazon,Hogar,MLP Neural Network,2.0,2.098134655494212,-0.09813465549421219,0.09813465549421219
2025-08-15,Amazon,Electronica,MLP Neural Network,11.0,10.932340738912313,0.06765926108768738,0.06765926108768738
2025-08-15,Web Propia,Deporte,MLP Neural Network,2.0,1.6778524460603919,0.32214755393960814,0.32214755393960814
2025-08-16,Shein,Accesorios,MLP Neural Network,4.0,4.002477768007605,-0.002477768007604908,0.002477768007604908
2025-08-16,Miravia,Moda Mujer,MLP Neural Network,4.0,3.823895806281923,0.17610419371807717,0.17610419371807717
2025-08-16,Web Propia,Outlet,MLP Neural Network,4.0,2.387850525695596,1.6121494743044038,1.6121494743044038
2025-08-16,Amazon,Accesorios,MLP Neural Network,1.0,1.092477742300359,-0.0924777423003591,0.0924777423003591
2025-08-16,Web Propia,Infantil,MLP Neural Network,1.0,2.4116099623006817,-1.4116099623006817,1.4116099623006817
2025-08-16,Miravia,Electronica,MLP Neural Network,1.0,0.8006390416925797,0.1993609583074203,0.1993609583074203
2025-08-16,Amazon,Belleza,MLP Neural Network,4.0,4.192501080486925,-0.1925010804869247,0.1925010804869247
2025-08-16,Web Propia,Electronica,MLP Neural Network,2.0,2.595639963038056,-0.5956399630380562,0.5956399630380562
2025-08-16,Shein,Infantil,MLP Neural Network,2.0,2.08236149110352,-0.0823614911035202,0.0823614911035202
2025-08-16,Miravia,Outlet,MLP Neural Network,1.0,2.580675057734004,-1.580675057734004,1.580675057734004
2025-08-16,Shein,Moda Hombre,MLP Neural Network,2.0,2.133981997234811,-0.13398199723481108,0.13398199723481108
2025-08-16,Shein,Electronica,MLP Neural Network,1.0,0.9467426488900812,0.053257351109918805,0.053257351109918805
2025-08-16,Web Propia,Deporte,MLP Neural Network,2.0,2.084281090144408,-0.08428109014440821,0.08428109014440821
2025-08-16,Shein,Deporte,MLP Neural Network,2.0,1.6317166448155456,0.36828335518445443,0.36828335518445443
2025-08-16,Amazon,Deporte,MLP Neural Network,3.0,2.903226595830374,0.09677340416962599,0.09677340416962599
2025-08-16,Amazon,Moda Hombre,MLP Neural Network,4.0,5.097796959356922,-1.0977969593569217,1.0977969593569217
2025-08-16,Miravia,Deporte,MLP Neural Network,1.0,0.9811409396666838,0.01885906033331619,0.01885906033331619
2025-08-16,Web Propia,Belleza,MLP Neural Network,5.0,3.546933858935449,1.453066141064551,1.453066141064551
2025-08-16,Miravia,Hogar,MLP Neural Network,6.0,5.555954985163612,0.44404501483638814,0.44404501483638814
