esquema,vista
bronze,dim_almacen
bronze,dim_canal
bronze,dim_categoria
bronze,dim_cliente
bronze,dim_envio
bronze,dim_fecha
bronze,dim_marca
bronze,dim_metodo_pago
bronze,dim_producto
bronze,dim_promocion
bronze,dim_proveedor
bronze,fact_inventario
bronze,fact_ventas
dbo,vw_margen_canal
dbo,vw_monthly_margin_summary
dbo,vw_prediccion_base_ventas
dbo,vw_rentabilidad_producto
dbo,vw_resumen_margen_mensual
dbo,vw_riesgo_stock
dbo,vw_sales_enriched
dbo,vw_ventas_enriquecidas
gold,calidad_datos
gold,margen_canal
gold,prediccion_base_ventas
gold,predicciones_ventas
gold,rentabilidad_producto
gold,resumen_ejecutivo
gold,resumen_mensual
gold,riesgo_stock
gold,ventas_powerbi
silver,calidad_datos
silver,inventario_limpio
silver,prediccion_base_ventas
silver,ventas_limpias
